time,node,count,total_count,lambda,service_mode,seed
228,c,46,122,2,fixed,20260905
228,d,2,122,2,fixed,20260905
230,o,2,119,2,fixed,20260905
230,a,11,119,2,fixed,20260905
230,b,61,119,2,fixed,20260905
230,c,45,119,2,fixed,20260905
230,d,0,119,2,fixed,20260905
232,o,1,122,2,fixed,20260905
232,a,8,122,2,fixed,20260905
232,b,65,122,2,fixed,20260905
232,c,47,122,2,fixed,20260905
232,d,1,122,2,fixed,20260905
234,o,0,120,2,fixed,20260905
234,a,7,120,2,fixed,20260905
234,b,63,120,2,fixed,20260905
234,c,48,120,2,fixed,20260905
234,d,2,120,2,fixed,20260905
236,o,0,118,2,fixed,20260905
236,a,6,118,2,fixed,20260905
236,b,61,118,2,fixed,20260905
236,c,49,118,2,fixed,20260905
236,d,2,118,2,fixed,20260905
238,o,5,120,2,fixed,20260905
238,a,4,120,2,fixed,20260905
238,b,58,120,2,fixed,20260905
238,c,51,120,2,fixed,20260905
238,d,2,120,2,fixed,20260905
240,o,4,117,2,fixed,20260905
240,a,1,117,2,fixed,20260905
240,b,59,117,2,fixed,20260905
240,c,53,117,2,fixed,20260905
240,d,0,117,2,fixed,20260905
242,o,0,118,2,fixed,20260905
242,a,2,118,2,fixed,20260905
242,b,63,118,2,fixed,20260905
242,c,51,118,2,fixed,20260905
242,d,2,118,2,fixed,20260905
244,o,0,116,2,fixed,20260905
244,a,2,116,2,fixed,20260905
244,b,63,116,2,fixed,20260905
244,c,50,116,2,fixed,20260905
244,d,1,116,2,fixed,20260905
246,o,0,115,2,fixed,20260905
246,a,1,115,2,fixed,20260905
246,b,60,115,2,fixed,20260905
246,c,54,115,2,fixed,20260905
246,d,0,115,2,fixed,20260905
248,o,3,117,2,fixed,20260905
248,a,0,117,2,fixed,20260905
248,b,57,117,2,fixed,20260905
248,c,55,117,2,fixed,20260905
248,d,2,117,2,fixed,20260905
250,o,6,120,2,fixed,20260905
250,a,1,120,2,fixed,20260905
250,b,57,120,2,fixed,20260905
250,c,56,120,2,fixed,20260905
250,d,0,120,2,fixed,20260905
252,o,5,122,2,fixed,20260905
252,a,1,122,2,fixed,20260905
252,b,55,122,2,fixed,20260905
252,c,59,122,2,fixed,20260905
252,d,2,122,2,fixed,20260905
254,o,5,122,2,fixed,20260905
254,a,1,122,2,fixed,20260905
254,b,55,122,2,fixed,20260905
254,c,61,122,2,fixed,20260905
254,d,0,122,2,fixed,20260905
256,o,10,130,2,fixed,20260905
256,a,0,130,2,fixed,20260905
256,b,55,130,2,fixed,20260905
256,c,63,130,2,fixed,20260905
256,d,2,130,2,fixed,20260905
258,o,16,132,2,fixed,20260905
258,a,1,132,2,fixed,20260905
258,b,55,132,2,fixed,20260905
258,c,58,132,2,fixed,20260905
258,d,2,132,2,fixed,20260905
260,o,14,132,2,fixed,20260905
260,a,1,132,2,fixed,20260905
260,b,59,132,2,fixed,20260905
260,c,57,132,2,fixed,20260905
260,d,1,132,2,fixed,20260905
262,o,12,133,2,fixed,20260905
262,a,3,133,2,fixed,20260905
262,b,60,133,2,fixed,20260905
