time,node,count,total_count,lambda,service_mode,seed
6,d,62,320,100,proportional,20260904
6.05,o,50,313,100,proportional,20260904
6.05,a,56,313,100,proportional,20260904
6.05,b,69,313,100,proportional,20260904
6.05,c,75,313,100,proportional,20260904
6.05,d,63,313,100,proportional,20260904
6.1,o,48,313,100,proportional,20260904
6.1,a,56,313,100,proportional,20260904
6.1,b,73,313,100,proportional,20260904
6.1,c,74,313,100,proportional,20260904
6.1,d,62,313,100,proportional,20260904
6.15,o,47,312,100,proportional,20260904
6.15,a,58,312,100,proportional,20260904
6.15,b,71,312,100,proportional,20260904
6.15,c,75,312,100,proportional,20260904
6.15,d,61,312,100,proportional,20260904
6.2,o,50,316,100,proportional,20260904
6.2,a,59,316,100,proportional,20260904
6.2,b,70,316,100,proportional,20260904
6.2,c,75,316,100,proportional,20260904
6.2,d,62,316,100,proportional,20260904
6.25,o,55,321,100,proportional,20260904
6.25,a,60,321,100,proportional,20260904
6.25,b,68,321,100,proportional,20260904
6.25,c,77,321,100,proportional,20260904
6.25,d,61,321,100,proportional,20260904
6.3,o,58,326,100,proportional,20260904
6.3,a,61,326,100,proportional,20260904
6.3,b,66,326,100,proportional,20260904
6.3,c,75,326,100,proportional,20260904
6.3,d,66,326,100,proportional,20260904
6.35,o,59,324,100,proportional,20260904
6.35,a,57,324,100,proportional,20260904
6.35,b,64,324,100,proportional,20260904
6.35,c,80,324,100,proportional,20260904
6.35,d,64,324,100,proportional,20260904
6.4,o,56,322,100,proportional,20260904
6.4,a,56,322,100,proportional,20260904
6.4,b,65,322,100,proportional,20260904
6.4,c,82,322,100,proportional,20260904
6.4,d,63,322,100,proportional,20260904
6.45,o,57,324,100,proportional,20260904
6.45,a,57,324,100,proportional,20260904
6.45,b,66,324,100,proportional,20260904
6.45,c,80,324,100,proportional,20260904
6.45,d,64,324,100,proportional,20260904
6.5,o,59,324,100,proportional,20260904
6.5,a,57,324,100,proportional,20260904
6.5,b,61,324,100,proportional,20260904
6.5,c,81,324,100,proportional,20260904
6.5,d,66,324,100,proportional,20260904
6.55,o,60,325,100,proportional,20260904
6.55,a,58,325,100,proportional,20260904
6.55,b,61,325,100,proportional,20260904
6.55,c,80,325,100,proportional,20260904
6.55,d,66,325,100,proportional,20260904
6.6,o,57,317,100,proportional,20260904
6.6,a,56,317,100,proportional,20260904
6.6,b,59,317,100,proportional,20260904
6.6,c,83,317,100,proportional,20260904
6.6,d,62,317,100,proportional,20260904
6.65,o,54,315,100,proportional,20260904
6.65,a,59,315,100,proportional,20260904
6.65,b,59,315,100,proportional,20260904
6.65,c,81,315,100,proportional,20260904
6.65,d,62,315,100,proportional,20260904
6.7,o,57,316,100,proportional,20260904
6.7,a,59,316,100,proportional,20260904
6.7,b,61,316,100,proportional,20260904
6.7,c,76,316,100,proportional,20260904
6.7,d,63,316,100,proportional,20260904
6.75,o,52,313,100,proportional,20260904
6.75,a,58,313,100,proportional,20260904
6.75,b,66,313,100,proportional,20260904
6.75,c,73,313,100,proportional,20260904
6.75,d,64,313,100,proportional,20260904
6.8,o,50,316,100,proportional,20260904
6.8,a,56,316,100,proportional,20260904
6.8,b,70,316,100,proportional,20260904
6.8,c,77,316,100,proportional,20260904
6.8,d,63,316,100,proportional,20260904
6.85,o,47,316,100,proportional,20260904
6.85,a,52,316,100,proportional,20260904
6.85,b,70,316,100,proportional,20260904
6.85,c,81,316,100,proportional,20260904
6.85,d,66,316,100,proportional,20260904
6.9,o,44,319,100,proportional,20260904
6.9,a,52,319,100,proportional,20260904
6.9,b,74,319,100,proportional,20260904
6.9,c,81,319,100,proportional,20260904
6.9,d,68,319,100,proportional,20260904
6.95,o,50,320,100,proportional,20260904
6.95,a,52,320,100,proportional,20260904
